segment_no,text_original,text_en,polarity,confidence_percent,reasoning_en
3,Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας καὶ ἐβαπτίσθη εἰς  τὸν Ἰορδάνην ὑπὸ Ἰωάνου.  καὶ εὐθὺς ἀναβαίνων ἐκ τοῦ,Jesus from Nazareth of Galilee and was baptized in the Jordan by John. And immediately coming up out of the,0.7,80,The baptism of Jesus is a significant and positive event in Christian theology.
4,ὕδατος εἶδεν σχιζομένους τοὺς οὐρανοὺς καὶ τὸ πνεῦμα ὡς,"water, He saw the heavens parting and the Spirit as",0.7,75,The heavens parting and the Spirit descending are signs of divine intervention and are considered positive.
5,περιστερὰν καταβαῖνον εἰς αὐτόν·  καὶ φωνὴ [ἐγένετο] ἐκ,a dove descending upon Him; and a voice [came] from,0.8,85,The dove and the voice from heaven are symbolic of divine approval and are highly positive.
6,"τῶν οὐρανῶν Σὺ εἶ ὁ υἱός μου ὁ ἀγαπητός, ἐν σοὶ εὐδόκησα.  Καὶ εὐθὺς τὸ πνεῦμα αὐτὸν ἐκβάλλει","the heavens, ""You are My beloved Son, in You I am well pleased."" And immediately the Spirit drove Him",0.9,90,God's declaration of Jesus as his beloved son is a highly positive affirmation. The Spirit driving him is more neutral.
7,εἰς τὴν ἔρημον.  καὶ ἦν ἐν τῇ ἐρήμῳ τεσσεράκοντα ἡμέρας,into the wilderness. And He was in the wilderness forty days,-0.2,65,"The wilderness is often associated with hardship and testing, suggesting a slightly negative sentiment."
8,"πειραζόμενος ὑπὸ τοῦ Σατανᾶ, καὶ ἦν μετὰ τῶν θηρίων,","tempted by Satan, and was with the wild beasts,",-0.8,90,Being tempted by Satan is a clearly negative experience. Being with wild beasts also suggests danger and negativity.
9,καὶ οἱ ἄγγελοι διηκόνουν αὐτῷ.  Καὶ μετὰ τὸ παραδοθῆναι τὸν Ἰωάνην ἦλθεν ὁ,"and the angels were ministering to Him. And after John was arrested, came",0.4,70,"Angels ministering is positive, but John's arrest is negative, resulting in a slightly positive overall sentiment."
10,Ἰησοῦς εἰς τὴν Γαλιλαίαν κηρύσσων τὸ εὐαγγέλιον τοῦ θεοῦ  [καὶ λέγων] ὅτι Πεπλήρωται ὁ καιρὸς καὶ,"Jesus into Galilee, proclaiming the gospel of God, [and saying], ""The time is fulfilled, and",0.8,85,"Proclaiming the gospel is a positive action, and the statement ""The time is fulfilled"" suggests a positive sense of purpose and completion."
1,ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε καὶ πιστεύετε,The kingdom of God is at hand; repent and believe,0.8,90,"This segment expresses a positive message of divine kingdom, repentance, and belief, indicating a hopeful and encouraging sentiment."
2,ἐν τῷ εὐαγγελίῳ.  Καὶ παράγων παρὰ,in the gospel. And passing along beside,0.6,70,"This segment introduces the gospel and the act of passing by, suggesting a positive context related to spreading good news."
3,τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν Σίμωνα καὶ Ἀνδρέαν,"the Sea of Galilee, He saw Simon and Andrew",0.5,60,"This segment describes a sighting of individuals, which is neutral but sets the stage for further interaction, leaning slightly positive due to the introduction of key figures."
4,"τὸν ἀδελφὸν Σίμωνος ἀμφιβάλλοντας ἐν τῇ θαλάσσῃ, ἦσαν γὰρ ἁλεεῖς·  καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς","the brother of Simon casting a net in the sea, for they were fishermen; and Jesus said to them",0.6,70,"This segment describes the profession of the individuals and introduces Jesus speaking to them, which is a positive setup for a call to action."
5,"Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς γενέσθαι ἁλεεῖς","Follow me, and I will make you become fishers",0.7,80,"This segment contains a call to follow, promising a transformation, which is a positive and encouraging message."
6,ἀνθρώπων.  καὶ εὐθὺς ἀφέντες τὰ δίκτυα ἠκολούθησαν,of men. And immediately they left their nets and followed,0.7,80,"This segment describes immediate obedience and following, indicating a positive response to the call."
7,αὐτῷ.  Καὶ προβὰς ὀλίγον εἶδεν Ἰάκωβον τὸν τοῦ Ζεβεδαίου,"Him. And going on a little further, He saw James the son of Zebedee",0.5,60,"This segment describes further progression and sighting of another individual, which is neutral but continues the narrative in a positive direction."
8,"καὶ Ἰωάνην τὸν ἀδελφὸν αὐτοῦ, καὶ αὐτοὺς ἐν τῷ","and John his brother, and they themselves in the",0.5,60,"This segment introduces another individual and his brother, continuing the narrative in a neutral but potentially positive direction."
9,"πλοίῳ καταρτίζοντας τὰ δίκτυα,  καὶ εὐθὺς ἐκάλεσεν αὐτούς.","boat mending the nets, and immediately He called them.",0.7,80,"This segment describes the individuals' activity and the immediate call, indicating a positive and decisive action."
10,καὶ ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ,and leaving their father Zebedee in the boat,0.4,50,"This segment describes leaving their father, which could be seen as a sacrifice or a difficult decision, but ultimately contributes to the overall positive narrative of following Jesus. The polarity is slightly positive as it is part of a larger positive action."
1,μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ.  Καὶ εἰσπορεύονται εἰς Καφαρναούμ. Καὶ εὐθὺς τοῖς,And they departed after him with the hired servants. And they went into Capernaum. And immediately on the,0.0,70,"This segment is neutral, describing movement and location without expressing strong emotion."
2,σάββασιν εἰσελθὼν εἰς τὴν συναγωγὴν ἐδίδασκεν.  καὶ,Sabbath he entered into the synagogue and taught. And,0.2,65,"This segment is slightly positive due to the mention of teaching in the synagogue, which implies a positive religious activity."
3,"ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ἦν γὰρ διδάσκων","they were astonished at his teaching, for he was teaching",0.5,80,"This segment is positive because it describes the astonishment of the people at Jesus' teaching, indicating a positive reception."
4,αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς.  καὶ,"them as one having authority, and not as the scribes. And",0.4,75,"This segment is positive because it highlights the authority of Jesus' teaching compared to the scribes, suggesting a superior and positive quality."
5,εὐθὺς ἦν ἐν τῇ συναγωγῇ αὐτῶν ἄνθρωπος ἐν πνεύματι,"Immediately there was in their synagogue a man with an unclean spirit,",-0.3,70,"This segment introduces a negative element with the mention of an ""unclean spirit,"" suggesting a negative or troubled situation."
6,"ἀκαθάρτῳ, καὶ ἀνέκραξεν  λέγων Τί ἡμῖν καὶ σοί, Ἰησοῦ","unclean, and he cried out, saying, ""What have we to do with you, Jesus",-0.5,85,"This segment is negative due to the unclean spirit's exclamation, which expresses conflict and opposition to Jesus."
7,"Ναζαρηνέ; ἦλθες ἀπολέσαι ἡμᾶς; οἶδά σε τίς εἶ, ὁ ἅγιος",of Nazareth? Have you come to destroy us? I know who you are—the Holy,-0.6,90,"This segment is strongly negative. The unclean spirit expresses fear of destruction, indicating a negative and hostile interaction."
8,τοῦ θεοῦ.  καὶ ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς [λέγων] Φιμώθητι,"One of God."" And Jesus rebuked him, saying, ""Be silent,",-0.2,75,"This segment is slightly negative because it describes Jesus rebuking the unclean spirit, indicating a conflict or negative interaction."
9,καὶ ἔξελθε ἐξ αὐτοῦ.  καὶ σπαράξαν αὐτὸν τὸ πνεῦμα,"and come out of him!"" And when the unclean spirit had convulsed him,",-0.7,90,"This segment is strongly negative due to the description of the unclean spirit convulsing the man, indicating violence and suffering."
10,"τὸ ἀκάθαρτον καὶ φωνῆσαν φωνῇ μεγάλῃ ἐξῆλθεν ἐξ αὐτοῦ.  καὶ ἐθαμβήθησαν ἅπαντες,  ὥστε συνζητεῖν αὐτοὺς λέγοντας","it cried out with a loud voice and came out of him. And they were all amazed, so that they questioned among themselves, saying,",-0.4,80,"This segment is somewhat negative. While the spirit leaves, the loud cry and the amazement suggest a disturbing event, leading to a negative sentiment overall. The amazement itself is neutral, but the context is negative."
1,Τί ἐστιν τοῦτο; διδαχὴ καινή· κατʼ ἐξουσίαν καὶ τοῖς,What is this? A new teaching! With authority he commands even the,0.6,80,"The segment expresses awe and recognition of authority, indicating a positive sentiment."
2,"πνεύμασι τοῖς ἀκαθάρτοις ἐπιτάσσει, καὶ ὑπακούουσιν αὐτῷ.  Καὶ ἐξῆλθεν ἡ ἀκοὴ αὐτοῦ εὐθὺς πανταχοῦ εἰς ὅλην την","unclean spirits, and they obey him. And at once his fame spread everywhere throughout all the",0.7,85,"The segment describes authority over unclean spirits and spreading fame, indicating a positive sentiment."
3,περίχωρον τῆς Γαλιλαίας.  Καὶ εὐθὺς ἐκ τῆς,"region around Galilee. And immediately, leaving the",0.1,50,This segment is mostly descriptive and neutral in sentiment. The mention of Galilee is geographically informative.
4,συναγωγῆς ἐξελθόντες ἦλθαν εἰς τὴν οἰκίαν Σίμωνος καὶ,"synagogue, they entered the house of Simon and",0.0,60,"This segment is descriptive and neutral in sentiment, simply stating a movement from one location to another."
5,Ἀνδρέου μετὰ Ἰακώβου καὶ Ἰωάνου.  ἡ δὲ πενθερὰ Σίμωνος,"Andrew, with James and John. Now Simon's mother-in-law",0.0,60,"This segment is descriptive and neutral in sentiment, introducing characters and their relationships."
6,"κατέκειτο πυρέσσουσα, καὶ εὐθὺς λέγουσιν αὐτῷ περὶ αὐτῆς.","lay ill with a fever, and immediately they told him about her.",-0.4,75,"The segment describes illness (fever), which carries a negative sentiment."
7,καὶ προσελθὼν ἤγειρεν αὐτὴν κρατήσας τῆς χειρός·  καὶ ἀφῆκεν,"And he came and raised her up, taking her by the hand. And the fever left",0.7,85,"The segment describes healing, which carries a positive sentiment."
8,"αὐτὴν ὁ πυρετός, καὶ διηκόνει αὐτοῖς.  Ὀψίας","her, and she began to serve them. That evening",0.6,80,"The segment describes recovery and service, which carries a positive sentiment."
9,"δὲ γενομένης, ὅτε ἔδυσεν ὁ ἥλιος, ἔφερον πρὸς αὐτὸν","when evening came, when the sun had set, they brought to him",0.1,50,"This segment is descriptive and neutral in sentiment, setting the scene for subsequent events."
10,πάντας τοὺς κακῶς ἔχοντας καὶ τοὺς δαιμονιζομένους·  καὶ,all who were sick or possessed with demons. And,-0.5,80,"The segment describes sickness and demon possession, which carries a negative sentiment."
1,ἦν ὅλη ἡ πόλις ἐπισυνηγμένη πρὸς τὴν θύραν.  καὶ ἐθεράπευσεν,The whole city was gathered together at the door. And he healed,0.3,70,"The segment describes a gathering and healing, suggesting a positive event."
2,"πολλοὺς κακῶς ἔχοντας ποικίλαις νόσοις, καὶ δαιμόνια","many who were sick with various diseases, and cast out demons",-0.4,80,"The segment mentions sickness and demons, indicating a negative situation."
3,"πολλὰ ἐξέβαλεν, καὶ οὐκ ἤφιεν λαλεῖν τὰ δαιμόνια,","and he cast out many demons and did not allow the demons to speak,",0.2,75,"Casting out demons is generally considered a positive action, although the presence of demons initially is negative."
4,ὅτι ᾔδεισαν αὐτὸν [Χριστὸν εἶναι].  Καὶ,because they knew him [to be Christ]. And,0.6,85,Recognition of Christ is a positive affirmation in a religious context.
5,πρωὶ ἔννυχα λίαν ἀναστὰς ἐξῆλθεν [καὶ ἀπῆλθεν] εἰς ἔρημον,"And rising very early in the morning, he departed and went out to a desolate",-0.1,60,"Going to a desolate place suggests solitude and perhaps a need to escape, which is slightly negative."
6,τόπον κἀκεῖ προσηύχετο.  καὶ κατεδίωξεν αὐτὸν Σίμων,"place, and there he prayed. And Simon followed him",-0.2,65,"Being followed can be interpreted as a slightly negative event, implying a lack of privacy or potential conflict. Prayer itself is neutral."
7,"καὶ οἱ μετʼ αὐτοῦ,  καὶ εὗρον αὐτὸν καὶ λέγουσιν αὐτῷ","and those who were with him, and they found him and said to him",0.1,55,"Finding someone is generally neutral, but the context might imply a purpose, which could be positive or negative. Without further context, it's slightly positive due to the reunion aspect."
8,ὅτι Πάντες ζητοῦσίν σε.  καὶ λέγει αὐτοῖς Ἄγωμεν,"Everyone is looking for you. And he said to them, Let us go",0.3,70,"Being sought after can be seen as positive, indicating importance or popularity. The suggestion to move on is neutral."
9,"ἀλλαχοῦ εἰς τὰς ἐχομένας κωμοπόλεις, ἵνα καὶ ἐκεῖ κηρύξω,","elsewhere to the neighboring towns, so that I may preach there also,",0.4,75,"Preaching is generally considered a positive activity, especially in a religious context."
10,εἰς τοῦτο γὰρ ἐξῆλθον.  καὶ ἦλθεν κηρύσσων εἰς τὰς,for that is why I came out. And he went preaching into the,0.5,80,The statement of purpose and the act of preaching both carry positive connotations.
1,συναγωγὰς αὐτῶν εἰς ὅλην τὴν Γαλιλαίαν καὶ τὰ δαιμόνια,"He went into their synagogues throughout all Galilee, and cast out demons.",0.2,70,"The segment describes casting out demons, which can be seen as a positive action, but also contains the word ""demons"" which has a negative connotation. Therefore, the polarity is slightly positive."
2,ἐκβάλλων.  Καὶ ἔρχεται πρὸς αὐτὸν λεπρὸς παρακαλῶν αὐτὸν,"And a leper came to him, imploring him,",-0.3,75,"The segment describes a leper approaching Jesus, which implies suffering and a plea for help. Leprosy is a disease with negative connotations."
3,[καὶ γονυπετῶν] λέγων αὐτῷ ὅτι Ἐὰν θέλῃς δύνασαί,"[and kneeling down] saying to him, ""If you will, you can",0.5,65,"The leper is expressing faith and hope in Jesus' ability to heal him. The phrase ""If you will, you can"" suggests a belief in Jesus' power."
4,με καθαρίσαι.  καὶ σπλαγχνισθεὶς ἐκτείνας τὴν χεῖρα,"make me clean."" And having compassion, stretching out the hand",0.7,80,"The segment describes Jesus having compassion, which is a positive emotion. The act of stretching out his hand suggests an act of healing and kindness."
5,"αὐτοῦ ἥψατο καὶ λέγει αὐτῷ Θέλω, καθαρίσθητι·  καὶ εὐθὺς ἀπῆλθεν ἀπʼ αὐτοῦ ἡ λέπρα, καὶ ἐκαθερίσθη.  καὶ ἐμβριμησάμενος αὐτῷ εὐθὺς ἐξέβαλεν αὐτόν,  καὶ λέγει","he touched him and says to him, ""I will; be clean."" And immediately the leprosy left him, and he was cleansed. And sternly warning him, he immediately sent him away, and says",0.4,70,"The segment describes the healing of the leper, which is a positive event. However, Jesus also sternly warns him and sends him away, which introduces a slightly negative element. The overall sentiment is positive due to the healing."
6,"αὐτῷ Ὅρα μηδενὶ μηδὲν εἴπῃς, ἀλλὰ ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ  καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου","to him, ""See that you say nothing to anyone, but go, show yourself to the priest and offer for your cleansing",0.1,60,"This segment contains instructions and a command to show himself to the priest, which is a neutral action. The mention of ""cleansing"" has a slightly positive connotation, but the overall sentiment is relatively neutral."
7,"ἃ προσέταξεν Μωυσῆς εἰς μαρτύριον αὐτοῖς.  ὁ δὲ ἐξελθὼν  ἤρξατο κηρύσσειν πολλὰ καὶ διαφημίζειν τὸν λόγον, ὥστε","what Moses commanded, for a proof to them."" But he, going out, began to proclaim it freely and to spread the word, so that",0.6,75,"The segment describes the healed man proclaiming the word freely, which is a positive action. The spreading of the word suggests a positive message being shared."
8,"μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν, ἀλλὰ","he could no longer openly enter a town, but",-0.2,65,"The segment describes Jesus not being able to enter a town openly, which suggests a restriction and potential conflict. This has a slightly negative connotation."
9,ἔξω ἐπʼ ἐρήμοις τόποις [ἦν]· καὶ ἤρχοντο πρὸς αὐτὸν,"he was out in desolate places, and they were coming to him",0.1,60,"While ""desolate places"" has a slightly negative connotation, the fact that people were coming to him suggests a positive draw or attraction. The overall sentiment is slightly positive."
10,πάντοθεν.  Καὶ εἰσελθὼν πάλιν εἰς Καφαρναοὺμ διʼ ἡμερῶν ἠκούσθη,"from everywhere. And when he entered Capernaum again after some days, it was heard",0.0,50,This segment is mostly neutral. It simply states that Jesus entered Capernaum and it was heard. There is no strong positive or negative sentiment.
1,ὅτι ἐν οἴκῳ ἐστίν·  καὶ συνήχθησαν πολλοὶ ὥστε,"that he was in the house; and many were gathered together, so that",0.1,60,"This segment is neutral, simply stating a fact about a gathering."
2,"μηκέτι χωρεῖν μηδὲ τὰ πρὸς τὴν θύραν, καὶ ἐλάλει αὐτοῖς","there was no longer room, not even near the door; and he was speaking the word to them.",0.2,65,"The segment describes a crowded scene and someone speaking, which is slightly positive due to the act of communication."
3,τὸν λόγον.  καὶ ἔρχονται φέροντες πρὸς αὐτὸν παραλυτικὸν,"the word. And they came, bringing to him a paralytic",-0.2,70,"The mention of a paralytic introduces a negative element of suffering, but the act of bringing him is somewhat hopeful."
4,αἰρόμενον ὑπὸ τεσσάρων.  καὶ μὴ δυνάμενοι προσενέγκαι,carried by four men. And when they could not get near him,-0.1,65,"The segment describes a difficult situation (paralytic being carried, inability to get near), leaning slightly negative."
5,"αὐτῷ διὰ τὸν ὄχλον ἀπεστέγασαν τὴν στέγην ὅπου ἦν, καὶ","because of the crowd, they removed the roof above him; and",0.0,60,"This segment is neutral, describing an action taken to overcome an obstacle."
6,ἐξορύξαντες χαλῶσι τὸν κράβαττον ὅπου ὁ παραλυτικὸς,"when they had made an opening, they let down the pallet on which the paralytic",-0.1,65,"The segment describes the act of lowering the paralytic, which is slightly negative due to the underlying condition."
7,κατέκειτο.  καὶ ἰδὼν ὁ Ἰησοῦς τὴν πίστιν αὐτῶν λέγει τῷ,"was lying. And when Jesus saw their faith, he said to the",0.3,75,"The segment introduces Jesus and the concept of faith, which is generally positive."
8,"παραλυτικῷ Τέκνον, ἀφίενταί σου αἱ ἁμαρτίαι.  ἦσαν δέ","paralytic, ""Son, your sins are forgiven."" Now some",0.4,80,"The forgiveness of sins is a positive concept, indicating healing and redemption."
9,τινες τῶν γραμματέων ἐκεῖ καθήμενοι καὶ διαλογιζόμενοι ἐν ταῖς καρδίαις αὐτῶν  Τί οὗτος οὕτω λαλεῖ; βλασφημεῖ·,"of the scribes were sitting there, questioning in their hearts, ""Why does this man speak like that? He is blaspheming!""",-0.5,85,"The segment introduces doubt and accusation of blasphemy, which is strongly negative."
10,τίς δύναται ἀφιέναι ἁμαρτίας εἰ μὴ εἷς ὁ θεός;  καὶ εὐθὺς ἐπιγνοὺς ὁ Ἰησοῦς τῷ πνεύματι αὐτοῦ ὅτι [οὕτως] διαλογίζονται,"Who can forgive sins but God alone? And immediately Jesus, perceiving in his spirit that they were thus questioning",-0.3,75,The segment continues the negative sentiment of doubt and questioning Jesus' authority.
1,ἐν ἑαυτοῖς λέγει [αὐτοῖς] Τί ταῦτα διαλογίζεσθε ἐν,Why do you reason about these things in yourselves?,-0.2,70,"This segment contains a question implying doubt or disagreement, suggesting a slightly negative sentiment."
2,"ταῖς καρδίαις ὑμῶν;  τί ἐστιν εὐκοπώτερον,","in your hearts? Which is easier,",0.0,60,"This segment is neutral, posing a question without expressing a clear positive or negative sentiment."
3,"εἰπεῖν τῷ παραλυτικῷ Ἀφίενταί σου αἱ ἁμαρτίαι, ἢ εἰπεῖν Ἐγείρου","to say to the paralytic, 'Your sins are forgiven,' or to say, 'Get up'",0.3,75,"The forgiveness of sins carries a positive connotation, suggesting redemption and healing."
4,[καὶ] ἆρον τὸν κράβαττόν σου καὶ περιπάτει;  ἵνα δὲ εἰδῆτε,and take up your bed and walk?' But so that you may know,0.2,65,"The command to 'get up and walk' implies healing and restoration, which is generally positive. The 'so that you may know' introduces an element of purpose."
5,ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἀφιέναι ἁμαρτίας,that the Son of Man has authority to forgive sins,0.4,80,"The statement about the Son of Man having authority to forgive sins is positive, indicating power and redemption."
6,"ἐπὶ τῆς γῆς — λέγει τῷ παραλυτικῷ  Σοὶ λέγω,","on earth"" - He said to the paralytic, ""I say to you,",0.0,50,"This segment is neutral, setting the stage for a command without expressing inherent positive or negative sentiment."
7,ἔγειρε ἆρον τὸν κράβαττόν σου καὶ ὕπαγε εἰς τὸν οἶκόν σου.  καὶ ἠγέρθη καὶ εὐθὺς ἄρας τὸν κράβαττον ἐξῆλθεν ἔμπροσθεν,"get up, take up your bed, and go to your home."" And he got up, and immediately taking up the bed, he went out before",0.7,85,"This segment describes a miraculous healing and restoration, which is highly positive."
8,"πάντων, ὥστε ἐξίστασθαι πάντας καὶ δοξάζειν τὸν θεὸν","everyone, so that everyone was amazed and glorified God",0.8,90,The amazement and glorification of God indicate a very positive and uplifting event.
9,[λέγοντας] ὅτι Οὕτως οὐδέποτε εἴδαμεν.  Καὶ ἐξῆλθεν πάλιν παρὰ τὴν θάλασσαν· καὶ πᾶς,"[saying] ""We have never seen anything like this!"" And he went out again beside the sea, and all",0.6,80,"The exclamation ""We have never seen anything like this!"" expresses awe and wonder, indicating a positive sentiment. The continuation of the narrative is neutral."
10,"ὁ ὄχλος ἤρχετο πρὸς αὐτόν, καὶ ἐδίδασκεν αὐτούς.  Καὶ","the crowd was coming to him, and he was teaching them. And",0.3,70,Teaching and people gathering suggest a positive influence and reception of knowledge.
1,παράγων εἶδεν Λευεὶν τὸν τοῦ Ἁλφαίου καθήμενον ἐπὶ,"And passing by, He saw Levi, the son of Alphaeus, sitting at",0.0,60,This segment is a neutral observation of an event. It simply states that Jesus saw Levi.
2,"τὸ τελώνιον, καὶ λέγει αὐτῷ Ἀκολούθει μοι. καὶ ἀναστὰς","the tax office, and He said to him, ""Follow Me."" And rising up,",0.5,70,"This segment contains a call to action from Jesus, which can be interpreted as positive due to its association with discipleship and spiritual guidance."
3,ἠκολούθησεν αὐτῷ.  Καὶ γίνεται κατακεῖσθαι,he followed Him. And it happened that He was reclining at the table,0.3,65,Levi's act of following Jesus suggests a positive response to the call. The second part is a neutral description of a scene.
4,"αὐτὸν ἐν τῇ οἰκίᾳ αὐτοῦ, καὶ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ  συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ,","in his house, and many tax collectors and sinners were reclining at the table with Jesus and His disciples;",0.1,55,"The presence of tax collectors and sinners is a neutral observation, although it hints at a potential for controversy or judgment later on. The act of reclining together suggests fellowship."
5,ἦσαν γὰρ πολλοὶ καὶ ἠκολούθουν αὐτῷ.  καὶ οἱ γραμματεῖς,"for there were many, and they were following Him. And the scribes",0.2,60,"The first part indicates a growing following, which is generally positive. The introduction of the scribes hints at potential conflict or scrutiny."
6,τῶν Φαρισαίων ἰδόντες ὅτι ἐσθίει μετὰ τῶν ἁμαρτωλῶν,"of the Pharisees, when they saw that He was eating with the sinners",-0.2,65,"The Pharisees' observation of Jesus eating with sinners suggests disapproval or criticism, indicating a negative sentiment."
