segment_no,text_original,text_en,polarity,confidence_percent,reasoning_en
9,"διὰ τοῦ προφήτου Καὶ σύ, Βηθλεὲμ γῆ Ἰούδα, οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα· ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος,","by the prophet, And thou Bethlehem, in the land of Juda, art not the least among the princes of Juda: for out of thee shall come a Governor,",0.7,85,"This segment contains a prophecy about Bethlehem being the birthplace of a governor, which is a positive and hopeful message."
10,ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ. Τότε Ἡρῴδης λάθρᾳ καλέσας τοὺς μάγους ἠκρίβωσεν παρʼ αὐτῶν τὸν χρόνον τοῦ,"that shall rule my people Israel. Then Herod, when he had privily called the wise men, enquired of them diligently what time the",-0.3,70,"Herod secretly calling the wise men suggests a hidden agenda and potential malice, leading to a negative sentiment."
1,"φαινομένου ἀστέρος, καὶ πέμψας αὐτοὺς εἰς Βηθλεὲμ εἶπεν Πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου· ἐπὰν δὲ","When they saw the star, and sending them to Bethlehem, he said, ""Go and search carefully for the child; and when you have found him,""",0.2,70,"The segment describes the appearance of a star and the instruction to search for a child, indicating a sense of anticipation and purpose. The polarity is slightly positive due to the quest for something important."
2,"εὕρητε ἀπαγγείλατέ μοι, ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ. οἱ δὲ ἀκούσαντες τοῦ βασιλέως ἐπορεύθησαν, καὶ ἰδοὺ ὁ","report back to me, so that I too may go and worship him."" After listening to the king, they went; and behold, the",0.3,75,"The segment involves worship and obedience to a king's command, suggesting respect and a positive intention, although the king's true motives are unknown at this point. The polarity is positive due to the act of worship."
3,"ἀστὴρ ὃν εἶδον ἐν τῇ ἀνατολῇ προῆγεν αὐτούς, ἕως ἐλθὼν ἐστάθη ἐπάνω οὗ ἦν τὸ παιδίον. ἰδόντες δὲ τὸν ἀστέρα ἐχάρησαν","star that they had seen in the East went ahead of them until it came and stopped over the place where the child was. When they saw the star, they rejoiced",0.8,90,"The segment describes the star guiding them and their subsequent rejoicing, indicating a strong positive sentiment. The polarity is highly positive due to the explicit mention of joy."
4,"χαρὰν μεγάλην σφόδρα. καὶ ἐλθόντες εἰς τὴν οἰκίαν εἶδον τὸ παιδίον μετὰ Μαρίας τῆς μητρὸς αὐτοῦ, καὶ πεσόντες προσεκύνησαν","with exceedingly great joy. And going into the house, they saw the child with Mary his mother, and falling down, they worshiped",0.9,95,"This segment expresses ""exceedingly great joy"" and worship, indicating a very strong positive sentiment. The polarity is extremely positive."
5,"αὐτῷ, καὶ ἀνοίξαντες τοὺς θησαυροὺς αὐτῶν προσήνεγκαν αὐτῷ δῶρα, χρυσὸν καὶ λίβανον καὶ σμύρναν. καὶ χρηματισθέντες","him. And opening their treasures, they presented to him gifts, gold and frankincense and myrrh. And having been warned",0.7,85,"The segment describes the presentation of valuable gifts, indicating reverence and generosity, which are positive sentiments. The warning adds a slight element of caution, but the overall sentiment remains positive. The polarity is positive."
6,κατʼ ὄναρ μὴ ἀνακάμψαι πρὸς Ἡρῴδην διʼ ἄλλης ὁδοῦ ἀνεχώρησαν εἰς τὴν χώραν αὐτῶν. Ἀναχωρησάντων δὲ αὐτῶν ἰδοὺ ἄγγελος,"in a dream not to return to Herod, they departed to their own country by another way. Now when they had departed, behold, an angel",0.4,75,"The segment describes a warning and subsequent departure, suggesting caution and divine guidance. The avoidance of Herod implies a potential threat, but the overall sentiment is cautiously positive due to the divine intervention. The polarity is slightly positive."
7,"Κυρίου φαίνεται κατʼ ὄναρ τῷ Ἰωσὴφ λέγων Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον,","of the Lord appeared to Joseph in a dream, saying, ""Get up, take the child and his mother, and flee to Egypt,",-0.2,80,"The segment describes a warning to flee to Egypt, indicating danger and the need for escape. This suggests a negative sentiment due to the implied threat. The polarity is slightly negative."
8,καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοι· μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό. ὁ δὲ ἐγερθεὶς παρέλαβε τὸ,"and stay there until I tell you, for Herod is going to search for the child to destroy him."" And he got up, took the",-0.7,90,"The segment explicitly states Herod's intention to ""destroy"" the child, indicating a strong negative sentiment and imminent danger. The polarity is highly negative."
9,"παιδίον καὶ τὴν μητέρα αὐτοῦ νυκτὸς καὶ ἀνεχώρησεν εἰς Αἴγυπτον, καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου· ἵνα πληρωθῇ","child and his mother by night and went away to Egypt, and remained there until the death of Herod. This was to fulfill",-0.3,75,"The segment describes the flight to Egypt to escape Herod, indicating a continued sense of danger and displacement. While it also mentions fulfilling prophecy, the overall sentiment remains slightly negative due to the circumstances. The polarity is slightly negative."
10,τὸ ῥηθὲν ὑπὸ Κυρίου διὰ τοῦ προφήτου λέγοντος Ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου . Τότε Ἡρῴδης ἰδὼν ὅτι ἐνεπαίχθη,"what had been spoken by the Lord through the prophet: ""Out of Egypt I called my son."" Then Herod, when he saw that he had been tricked",-0.5,80,"The segment mentions Herod realizing he has been tricked, which implies anger and a potential for further negative actions. The reference to prophecy provides a glimmer of hope, but the overall sentiment is still negative. The polarity is moderately negative."
1,"ὑπὸ τῶν μάγων ἐθυμώθη λίαν, καὶ ἀποστείλας ἀνεῖλεν πάντας τοὺς παῖδας τοὺς ἐν Βηθλεὲμ καὶ ἐν πᾶσι τοῖς ὁρίοις αὐτῆς","Then Herod, when he saw that he was mocked of the wise men, was exceeding wroth, and sent forth, and slew all the children that were in Bethlehem, and in all the coasts thereof",-0.9,95,"This segment describes Herod's extreme anger and the subsequent slaughter of children, indicating a very negative sentiment."
2,"ἀπὸ διετοῦς καὶ κατωτέρω, κατὰ τὸν χρόνον ὃν ἠκρίβωσεν παρὰ τῶν μάγων. Τότε ἐπληρώθη τὸ ῥηθὲν διὰ Ἰερεμίου τοῦ","From two years old and under, according to the time which he had diligently enquired of the wise men. Then was fulfilled that which was spoken by Jeremy the",-0.5,80,"This segment refers to the killing of young children and the fulfillment of prophecy related to sorrow, suggesting a negative sentiment."
3,"προφήτου λέγοντος φωνὴ ἐν Ῥαμὰ ἠκούσθη, κλαυθμὸς καὶ ὀδυρμὸς πολύς· Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς, καὶ οὐκ ἤθελεν","prophet, saying, ""In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not",-0.9,95,"This segment explicitly mentions lamentation, weeping, and mourning, indicating a very strong negative sentiment."
4,παρακληθῆναι ὅτι οὐκ εἰσίν. Τελευτήσαντος δὲ τοῦ Ἡρῴδου ἰδοὺ ἄγγελος Κυρίου φαίνεται κατʼ ὄναρ τῷ Ἰωσὴφ ἐν Αἰγύπτῳ,"be comforted, because they are not. But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,",0.2,70,"The first part expresses inconsolable grief, but the second part introduces the appearance of an angel, which is generally positive. Overall, slightly positive due to the angel's appearance after Herod's death."
5,"λέγων Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ πορεύου εἰς γῆν Ἰσραήλ, τεθνήκασιν γὰρ οἱ ζητοῦντες","Saying, Arise, and take the young child and his mother, and go into the land of Israel: for they are dead which sought",0.7,85,The angel's instruction to return to Israel and the news that those who sought the child's life are dead indicates a positive shift in circumstances.
6,τὴν ψυχὴν τοῦ παιδίου. ὁ δὲ ἐγερθεὶς παρέλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ εἰσῆλθεν εἰς γῆν Ἰσραήλ. ἀκούσας,"the young child's life. And he arose, and took the young child and his mother, and came into the land of Israel. But when he heard",0.5,75,"This segment describes Joseph's obedience and return to Israel, which is a positive action, although the 'but when he heard' hints at a potential future problem."
7,δὲ ὅτι Ἀρχέλαος βασιλεύει τῆς Ἰουδαίας ἀντὶ τοῦ πατρὸς αὐτοῦ Ἡρῴδου ἐφοβήθη ἐκεῖ ἀπελθεῖν· χρηματισθεὶς δὲ κατʼ,"that Archelaus did reign in Judaea in the room of his father Herod, he was afraid to go thither: notwithstanding, being warned of God in",-0.3,70,"The fear of Archelaus's rule introduces a negative element, although the divine warning provides some mitigation. Overall slightly negative."
8,"ὄναρ ἀνεχώρησεν εἰς τὰ μέρη τῆς Γαλιλαίας, καὶ ἐλθὼν κατῴκησεν εἰς πόλιν λεγομένην Ναζαρέτ, ὅπως πληρωθῇ τὸ ῥηθὲν","a dream, he turned aside into the parts of Galilee: And he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken",0.3,75,"The movement to Galilee and dwelling in Nazareth to fulfill prophecy is generally positive, indicating divine guidance and purpose."
9,διὰ τῶν προφητῶν ὅτι Ναζωραῖος κληθήσεται. ΕΝ ΔΕ ΤΑΙΣ ΗΜΕΡΑΙΣ ἐκείναις παραγίνεται Ἰωάνης ὁ βαπτιστὴς κηρύσσων,"by the prophets, He shall be called a Nazarene. In those days came John the Baptist, preaching",0.4,70,The arrival of John the Baptist and the fulfillment of prophecy are generally positive events in the narrative.
10,"ἐν τῇ ἐρήμῳ τῆς Ἰουδαίας λέγων Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν. Οὗτος γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαίου","in the wilderness of Judaea, And saying, Repent ye: for the kingdom of heaven is at hand. For this is he that was spoken of by the prophet Esaias,",0.6,80,"John the Baptist's call to repentance and the announcement of the kingdom of heaven are positive messages, indicating hope and spiritual renewal."
1,"Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβάβελ, Ζοροβάβελ δὲ ἐγέννησεν τὸν Ἀβιούδ, Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακείμ, Ἐλιακεὶμ",And Salathiel begat Zorobabel; and Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim,0.0,80,"This segment is a genealogical statement, which is generally neutral in sentiment."
2,"δὲ ἐγέννησεν τὸν Ἀζώρ, Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ, Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχείμ, Ἀχεὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ,",begat Azor; and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;,0.0,80,"This segment continues the genealogical record, which is neutral in sentiment."
3,"Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ, Ἐλεάζαρ δὲ ἐγέννησεν τὸν Μαθθάν, Μαθθὰν δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν",And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob; and Jacob begat,0.0,80,"This segment continues the genealogical record, which is neutral in sentiment."
4,"τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος Χριστός. Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυεὶδ","Joseph the husband of Mary, of whom was born Jesus, who is called Christ. So all the generations from Abraham to David",0.2,70,"This segment introduces Jesus, which carries a slightly positive sentiment due to its religious significance."
5,"γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυεὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες, καὶ ἀπὸ τῆς μετοικεσίας",are fourteen generations; and from David until the deportation to Babylon are fourteen generations; and from the deportation,0.0,80,"This segment describes generations and a historical event (deportation to Babylon), which is neutral in sentiment."
6,Βαβυλῶνος ἕως τοῦ χριστοῦ γενεαὶ δεκατέσσαρες. ΤΟΥ ΔΕ [ΙΗΣΟΥ] ΧΡΙΣΤΟΥ ἡ γένεσις οὕτως ἦν. Μνηστευθείσης τῆς μητρὸς,"to Babylon until the Christ are fourteen generations. Now the birth of Jesus Christ was as follows, when his mother",0.2,70,"This segment mentions the birth of Christ, which carries a slightly positive sentiment due to its religious significance."
7,"αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου. Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς,","Mary had been betrothed to Joseph, before they came together she was found to be with child by the Holy Spirit. And Joseph her husband,",0.1,60,"This segment describes Mary being found with child by the Holy Spirit, which has a slightly positive sentiment due to the divine element, but also some potential for conflict."
8,"δίκαιος ὢν καὶ μὴ θέλων αὐτὴν δειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν. Ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος","being a righteous man and not wanting to disgrace her, planned to send her away secretly. But when he had considered this, behold, an angel",-0.1,65,"This segment describes Joseph's internal conflict and plan to divorce Mary quietly, which has a slightly negative sentiment due to the potential for disgrace and separation."
9,"Κυρίου κατʼ ὄναρ ἐφάνη αὐτῷ λέγων Ἰωσὴφ υἱὸς Δαυείδ, μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά σου, τὸ γὰρ ἐν αὐτῇ","of the Lord appeared to him in a dream, saying, ""Joseph, son of David, do not be afraid to take Mary as your wife, for that which is conceived in her",0.3,75,"This segment describes an angel appearing to Joseph and reassuring him, which has a positive sentiment due to divine intervention and reassurance."
10,"γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου· τέξεται δὲ υἱὸν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν, αὐτὸς γὰρ σώσει τὸν λαὸν","is of the Holy Spirit. She will bear a son, and you shall call his name Jesus, for he will save his people",0.5,80,"This segment describes the birth of Jesus and his role as savior, which has a positive sentiment due to its religious significance and promise of salvation."
